Proposed,PPO,DDQN,episode,action
0,0,0,1,Action D
0,0,0,2,Action D
0,0,0,3,Action D
0,0,0,4,Action D
0,0,0,5,Action D
0,0,0,6,Action D
0,0,0,7,Action D
0,0,0,8,Action D
0,0,0,9,Action D
0,0,0,10,Action D
0,0,0,11,Action D
0,0,0,12,Action D
0,0,0,13,Action D
0,0,0,14,Action D
0,0,0,15,Action D
0,0,0,16,Action D
0,0,0,17,Action D
0,0,0,18,Action D
0,0,0,19,Action D
0,0,0,20,Action D
0,0,0,21,Action D
0,0,0,22,Action D
0,0,0,23,Action D
0,0,0,24,Action D
1,0,0,25,Action A
0,0,0,26,Action D
0,0,0,27,Action D
0,0,0,28,Action D
0,0,0,29,Action D
0,0,0,30,Action D
0,0,0,31,Action D
0,0,0,32,Action D
0,0,0,33,Action D
0,0,0,34,Action D
0,0,0,35,Action D
0,0,0,36,Action D
0,0,0,37,Action D
0,0,0,38,Action D
0,0,0,39,Action D
0,0,0,40,Action D
0,0,0,41,Action D
0,0,0,42,Action D
0,0,0,43,Action D
0,0,0,44,Action D
0,0,0,45,Action D
0,0,0,46,Action D
0,0,0,47,Action D
0,0,0,48,Action D
0,0,0,49,Action D
0,0,0,50,Action D
0,0,0,51,Action D
0,0,0,52,Action D
0,0,0,53,Action D
0,0,0,54,Action D
0,0,0,55,Action D
0,0,0,56,Action D
0,0,0,57,Action D
0,0,0,58,Action D
0,0,0,59,Action D
0,0,0,60,Action D
0,0,0,61,Action D
0,0,0,62,Action D
0,0,0,63,Action D
0,0,0,64,Action D
0,0,0,65,Action D
0,0,0,66,Action D
0,1,0,67,Action B
0,0,0,68,Action D
0,0,0,69,Action D
0,0,0,70,Action D
0,0,0,71,Action D
0,0,0,72,Action D
0,0,0,73,Action D
0,0,0,74,Action D
0,0,0,75,Action D
0,0,0,76,Action D
0,0,0,77,Action D
0,0,0,78,Action D
0,0,0,79,Action D
0,0,0,80,Action D
0,0,0,81,Action D
0,0,0,82,Action D
0,0,0,83,Action D
0,0,0,84,Action D
0,0,0,85,Action D
0,0,0,86,Action D
0,0,0,87,Action D
0,0,0,88,Action D
0,0,0,89,Action D
0,0,0,90,Action D
0,0,0,91,Action D
0,0,0,92,Action D
0,0,0,93,Action D
0,0,0,94,Action D
0,0,0,95,Action D
0,0,0,96,Action D
0,0,0,97,Action D
0,0,1,98,Action C
0,0,0,99,Action D
0,0,0,100,Action D
0,0,0,101,Action D
0,0,0,102,Action D
0,0,0,103,Action D
0,0,0,104,Action D
0,0,0,105,Action D
0,0,0,106,Action D
0,0,0,107,Action D
0,0,0,108,Action D
0,0,0,109,Action D